Column A: Area of Focus,Expectation,Column B: Weight,Column C: Glucose,Column D: Activity,Column E: Steps,Column F: Food,Column G: Sleep,Column H: Medications,Column I: Mental Well-being,Column J: Explore,Column K: Journey,Daily Message,Tester,Test Date,Clinical Coaching Appropriateness [LLM Judge],Clinical Coaching Appropriateness - Rationale [LLM Judge],Clinical Coaching Appropriateness,Clinical Coaching Appropriateness - Rationale,Tone & Approachability [LLM Judge],Tone & Approachability - Rationale [LLM Judge],Tone & Approachability,Tone & Approachability - Rationale,Reading Level [LLM Judge],Reading Level - Rationale [LLM Judge],Reading Level,Reading Level - Rationale,Neutrality [LLM Judge],Neutrality  - Rationale [LLM Judge],Neutrality ,Neutrality ,Message Completeness [LLM Judge],Message Completeness - Rationale [LLM Judge],Message Completeness,Message Completeness - Rationale,Message Length Appropriateness [LLM Judge],Message Length Appropriateness [LLM Judge],Message Length Appropriateness,Message Length Appropriateness - Rationale,Language Variety & Flow [LLM Judge],Language Variety & Flow - Rationale [LLM Judge],Language Variety & Flow,Language Variety & Flow - Rationale,Response Structure [LLM Judge],Response Structure - Rationale [LLM Judge],Response Structure,Response Structure - Rationale,Spelling & Punctuation [LLM Judge],Spelling & Punctuation - Rationale [LLM Judge],Spelling & Punctuation,Spelling & Punctuation - Rationale,Medical Terminology [LLM Judge],Medical Terminology - Rationale [LLM Judge],Medical Terminology,Medical Terminology - Rationale,Numerical Calculation Accuracy [LLM Judge],Numerical Calculation Accuracy - Rationale [LLM Judge],Numerical Calculation Accuracy ,Numerical Calculation Accuracy - Rationale
CGM + TIR better (1),Include TIR in summary and 1 other positive action.,No weight entry > 6 days,TIR improved from prev day,Met 150 min goal,"Avg steps < 6,000",Logged food prev day,Avg duration >= 7h; Rating < 7,Taken < 50% meds,Opened a meditation,Read an article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR better (2),Include TIR in summary and 1 other positive action.,No goal: logged & increased,TIR improved from prev day,Active program: uncompleted,Steps 6k-9.9k & decreased,No log yesterday/month,No sleep entries,Taken 50-99% meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR better (3),Include TIR in summary and 1 other positive action.,Weight loss goal: logged & decreased,TIR improved from prev day,Logged active minutes,Logged >= 10000 steps,Did not log yesterday (month ok),Slept >= 7 hours,Took all meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR better (4),Include TIR in summary and 1 other positive action.,Weight maintenance: +/-3% goal,TIR improved from prev day,Did not log active minutes,Logged more steps,Logged at least one meal,Slept > prev day,Taken < 50% meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR better (5),Include TIR in summary and 1 other positive action.,No weight entry > 6 days,TIR improved from prev day,Logged active min >= prev day,"Avg steps < 6,000",Reached 90-110% target,Slept >= 7h & Rating >= 7,Taken 50-99% meds,No Action Plan progress,Did not read article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR worse (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,DM (A1C <7): TIR < 70%,Completed 90% video,Steps 6k-9.9k & decreased,Generated AI meal plan,Slept >= 7h & Rating > prev,Took all meds,No journal 1 month,Did not watch video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR worse (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,DIP: High > 25%,Started exercise program,Logged >= 10000 steps,Logged food prev day,Avg duration >= 7h & Rating >= 7,Taken < 50% meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR worse (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,DM (A1C <7): Low/V-Low >4%,Total activity < 150 min,Logged more steps,No log yesterday/month,Avg duration < 7h,Taken 50-99% meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR worse (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,Non-DM: TIR <90% + No meals,Met 150 min goal in last month but not last week,"Avg steps < 6,000",Did not log yesterday (month ok),Avg duration >= 7h; Rating < 7,Took all meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGM + TIR worse (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & decreased,Non-DM: Above Target > 5%,Active program: uncompleted,Steps 6k-9.9k & decreased,Logged at least one meal,No sleep entries,Taken < 50% meds,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Loss Goal (1),Include weight message in summary max of 2x/week,Weight loss goal: logged & decreased,DM (A1C <7): TIR >= 70%,Logged active minutes,Logged more steps,Reached 90-110% target,Slept >= 7 hours,Taken 50-99% meds,No meditation 1 month,No content opened,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Loss Goal (2),Include weight message in summary max of 2x/week,Weight loss goal: logged & increased,DM (A1C <8): TIR >= 50%,Did not log active minutes,"Avg steps < 6,000",Generated AI meal plan,Slept > prev day,Took all meds,No Action Plan progress,Did not read article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Loss Goal (3),Include weight message in summary max of 2x/week,Weight loss goal: logged & decreased,DIP User: TIR >= 70%,Logged active min >= prev day,Steps 6k-9.9k & decreased,Logged food prev day,Slept >= 7h & Rating >= 7,Taken < 50% meds,No journal 1 month,Did not watch video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Loss Goal (4),Include weight message in summary max of 2x/week,Weight loss goal: logged & increased,Non-DM User: TIR >= 90%,Completed 90% video,Logged >= 10000 steps,No log yesterday/month,Slept >= 7h & Rating > prev,Taken 50-99% meds,Took no actions,No curriculum lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Loss Goal (5),Include weight message in summary max of 2x/week,Weight loss goal: logged & decreased,TIR improved from prev day,Started exercise program,Logged more steps,Did not log yesterday (month ok),Avg duration >= 7h & Rating >= 7,Took all meds,Opened a meditation,Read an article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Maint Goal (1),Include weight message in summary max of 2x/week,Weight maintenance: +/-3% goal,DM (A1C <7): TIR < 70%,Total activity < 150 min,"Avg steps < 6,000",Logged at least one meal,Avg duration < 7h,Taken < 50% meds,Made a journal entry,Watched Learn video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Maint Goal (2),Include weight message in summary max of 2x/week,Weight maintenance: >3% goal,DM (A1C <8): TIR < 50%,Met 150 min goal in last month but not last week,Steps 6k-9.9k & decreased,Reached 90-110% target,Avg duration >= 7h; Rating < 7,Taken 50-99% meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Maint Goal (3),Include weight message in summary max of 2x/week,Weight maintenance: +/-3% goal,DIP: TIR < 70%,Active program: uncompleted,Logged >= 10000 steps,Generated AI meal plan,No sleep entries,Took all meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Maint Goal (4),Include weight message in summary max of 2x/week,Weight maintenance: >3% goal,Non-DM: TIR < 90%,Logged active minutes,Logged more steps,Logged food prev day,Slept >= 7 hours,Taken < 50% meds,No Action Plan progress,Did not read article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Maint Goal (5),Include weight message in summary max of 2x/week,Weight maintenance: +/-3% goal,DM (A1C <7): High > 25%,Did not log active minutes,"Avg steps < 6,000",No log yesterday/month,Slept > prev day,Taken 50-99% meds,No journal 1 month,Did not watch video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WL Goal (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,DM (A1C <8): High > 50%,Logged active min >= prev day,Steps 6k-9.9k & decreased,Did not log yesterday (month ok),Slept >= 7h & Rating >= 7,Took all meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WL Goal (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DIP: High > 25%,Completed 90% video,Logged >= 10000 steps,Logged at least one meal,Slept >= 7h & Rating > prev,Taken < 50% meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WL Goal (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,Non-DM: Above Target > 5%,Started exercise program,Logged more steps,Reached 90-110% target,Avg duration >= 7h & Rating >= 7,Taken 50-99% meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WL Goal (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DM (A1C <7): Low/V-Low > 4%,Total activity < 150 min,"Avg steps < 6,000",Generated AI meal plan,Avg duration < 7h,Took all meds,Progress on Action Plan,Completed lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WL Goal (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,DM (A1C <8): Low/V-Low > 1%,Met 150 min goal in last month but not last week,Steps 6k-9.9k & decreased,Logged food prev day,Avg duration >= 7h; Rating < 7,Taken < 50% meds,No meditation 1 month,No content opened,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WM Goal (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DIP: Low/V-Low > 5%,Active program: uncompleted,Logged >= 10000 steps,No log yesterday/month,No sleep entries,Taken 50-99% meds,No Action Plan progress,Did not read article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WM Goal (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,Non-DM: Low > 1%,Logged active minutes,Logged more steps,Did not log yesterday (month ok),Slept >= 7 hours,Took all meds,No journal 1 month,Did not watch video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WM Goal (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DM (A1C <7): TIR >= 70%,Did not log active minutes,"Avg steps < 6,000",Logged at least one meal,Slept > prev day,Taken < 50% meds,Took no actions,No curriculum lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WM Goal (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,DM (A1C <8): TIR >= 50%,Logged active min >= prev day,Steps 6k-9.9k & decreased,Reached 90-110% target,Slept >= 7h & Rating >= 7,Taken 50-99% meds,Opened a meditation,Read an article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No WM Goal (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & increased,DIP User: TIR >= 70%,Completed 90% video,Logged >= 10000 steps,Generated AI meal plan,Slept >= 7h & Rating > prev,Took all meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4 / 3 days same (1),Show positive action from different category than last 3 days,Weight loss goal: logged & decreased,Non-DM User: TIR >= 90%,Started exercise program,Logged more steps,Logged food prev day,Avg duration >= 7h & Rating >= 7,Taken < 50% meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4 / 3 days same (2),Show positive action from different category than last 3 days,Weight maintenance: +/-3% goal,TIR improved from prev day,Total activity < 150 min,"Avg steps < 6,000",No log yesterday/month,Avg duration < 7h,Taken 50-99% meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4 / 3 days same (3),Show positive action from different category than last 3 days,No weight entry > 6 days,DM (A1C <7): TIR < 70%,Met 150 min goal,Steps 6k-9.9k & decreased,Did not log yesterday (month ok),Avg duration >= 7h; Rating < 7,Took all meds,No Action Plan progress,Did not read article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4 / 3 days same (4),Show positive action from different category than last 3 days,No goal: logged & decreased,DM (A1C <8): TIR < 50%,Active program: uncompleted,Logged >= 10000 steps,Logged at least one meal,No sleep entries,Taken < 50% meds,No journal 1 month,Did not watch video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4 / 3 days same (5),Show positive action from different category than last 3 days,Weight loss goal: logged & increased,DIP: TIR < 70%,Logged active minutes,Logged more steps,Reached 90-110% target,Slept >= 7 hours,Taken 50-99% meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos action / 6 days (1),Show positive action that user hasn't had in last 6 days,Weight maintenance: >3% goal,Non-DM: TIR < 90%,Did not log active minutes,"Avg steps < 6,000",Generated AI meal plan,Slept > prev day,Took all meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos action / 6 days (2),Show positive action that user hasn't had in last 6 days,No goal: logged & increased,DM (A1C <7): High > 25%,Logged active min >= prev day,Steps 6k-9.9k & decreased,Logged food prev day,Slept >= 7h & Rating >= 7,Taken < 50% meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos action / 6 days (3),Show positive action that user hasn't had in last 6 days,Weight loss goal: logged & decreased,DM (A1C <8): High > 50%,Completed 90% video,Logged >= 10000 steps,No log yesterday/month,Slept >= 7h & Rating > prev,Taken 50-99% meds,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos action / 6 days (4),Show positive action that user hasn't had in last 6 days,Weight maintenance: +/-3% goal,DIP: High > 25%,Started exercise program,Logged more steps,Did not log yesterday (month ok),Avg duration >= 7h & Rating >= 7,Took all meds,No meditation 1 month,No content opened,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pos action / 6 days (5),Show positive action that user hasn't had in last 6 days,No weight entry > 6 days,Non-DM: Above Target > 5%,Total activity < 150 min,"Avg steps < 6,000",Logged at least one meal,Avg duration < 7h,Taken < 50% meds,No Action Plan progress,Did not read article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active journey (1),Show positive actions from journey category more than others,No goal: logged & decreased,DM (A1C <7): Low/V-Low > 4%,Met 150 min goal in last month but not last week,Steps 6k-9.9k & decreased,Reached 90-110% target,Avg duration >= 7h; Rating < 7,Taken 50-99% meds,No journal 1 month,Did not watch video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active journey (2),Show positive actions from journey category more than others,Weight loss goal: logged & increased,DM (A1C <8): Low/V-Low > 1%,Active program: uncompleted,Logged >= 10000 steps,Generated AI meal plan,No sleep entries,Took all meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active journey (3),Show positive actions from journey category more than others,Weight maintenance: >3% goal,DIP: Low/V-Low > 5%,Logged active minutes,Logged more steps,Logged food prev day,Slept >= 7 hours,Taken < 50% meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active journey (4),Show positive actions from journey category more than others,No goal: logged & increased,Non-DM: Low > 1%,Did not log active minutes,"Avg steps < 6,000",No log yesterday/month,Slept > prev day,Taken 50-99% meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active journey (5),Show positive actions from journey category more than others,Weight loss goal: logged & decreased,DM (A1C <7): TIR >= 70%,Logged active min >= prev day,Steps 6k-9.9k & decreased,Did not log yesterday (month ok),Slept >= 7h & Rating >= 7,Took all meds,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No active journey (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: +/-3% goal,DM (A1C <8): TIR >= 50%,Completed 90% video,Logged >= 10000 steps,Logged at least one meal,Slept >= 7h & Rating > prev,Taken < 50% meds,No meditation 1 month,No content opened,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No active journey (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",No weight entry > 6 days,DIP User: TIR >= 70%,Started exercise program,Logged more steps,Reached 90-110% target,Avg duration >= 7h & Rating >= 7,Taken 50-99% meds,No Action Plan progress,Did not read article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No active journey (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,Non-DM User: TIR >= 90%,Total activity < 150 min,"Avg steps < 6,000",Generated AI meal plan,Avg duration < 7h,Took all meds,No journal 1 month,Did not watch video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No active journey (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,TIR improved from prev day,Met 150 min goal,Steps 6k-9.9k & decreased,Logged food prev day,Avg duration >= 7h; Rating < 7,Taken < 50% meds,Took no actions,No curriculum lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No active journey (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,DM (A1C <7): TIR < 70%,Active program: uncompleted,Logged >= 10000 steps,No log yesterday/month,No sleep entries,Taken 50-99% meds,Opened a meditation,Read an article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meds on List (1),Show positive actions from Medications category more than others,No goal: logged & decreased,DM (A1C <8): TIR < 50%,Logged active minutes,Logged more steps,Did not log yesterday (month ok),Slept >= 7 hours,Took all meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meds on List (2),Show positive actions from Medications category more than others,Weight loss goal: logged & decreased,DIP: TIR < 70%,Did not log active minutes,"Avg steps < 6,000",Logged at least one meal,Slept > prev day,Taken < 50% meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meds on List (3),Show positive actions from Medications category more than others,Weight maintenance: +/-3% goal,Non-DM: TIR < 90%,Logged active min >= prev day,Steps 6k-9.9k & decreased,Reached 90-110% target,Slept >= 7h & Rating >= 7,Taken 50-99% meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meds on List (4),Show positive actions from Medications category more than others,No weight entry > 6 days,DM (A1C <7): High > 25%,Completed 90% video,Logged >= 10000 steps,Generated AI meal plan,Slept >= 7h & Rating > prev,Took all meds,No Action Plan progress,Did not read article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meds on List (5),Show positive actions from Medications category more than others,No goal: logged & increased,DM (A1C <8): High > 50%,Started exercise program,Logged more steps,Logged food prev day,Avg duration >= 7h & Rating >= 7,Taken < 50% meds,No journal 1 month,Did not watch video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No meds on List (1),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & increased,DIP: High > 25%,Total activity < 150 min,"Avg steps < 6,000",No log yesterday/month,Avg duration < 7h,No meds on Med List,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No meds on List (2),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: >3% goal,Non-DM: Above Target > 5%,Met 150 min goal in last month but not last week,Steps 6k-9.9k & decreased,Did not log yesterday (month ok),Avg duration >= 7h; Rating < 7,No meds on Med List,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No meds on List (3),"1-2 positive actions from the day before. 
1 area of opportunity. ",No goal: logged & decreased,DM (A1C <7): Low/V-Low > 4%,Active program: uncompleted,Logged >= 10000 steps,Logged at least one meal,No sleep entries,No meds on Med List,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No meds on List (4),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight loss goal: logged & decreased,DM (A1C <8): Low/V-Low > 1%,Logged active minutes,Logged more steps,Reached 90-110% target,Slept >= 7 hours,No meds on Med List,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No meds on List (5),"1-2 positive actions from the day before. 
1 area of opportunity. ",Weight maintenance: +/-3% goal,DIP: Low/V-Low > 5%,Did not log active minutes,"Avg steps < 6,000",Generated AI meal plan,Slept > prev day,No meds on Med List,No meditation 1 month,No content opened,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No data (1),Praise opening app; encourage looking at Explore section,No weight data,No CGM,Did not log active minutes,No step data,No food logged,No sleep entries,No meds on Med List,Took no actions,No content opened,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
